"","species","year","Apple","Field.Bean","Oilseed.Rape","growth.rate.dif"
"242","Andrena_minutula",2009,1,0,1,-0.681490552616434
"243","Andrena_minutula",2010,1,0,1,-0.0872786119204279
"244","Andrena_minutula",2011,1,0,1,0.860058541627797
"245","Andrena_minutula",2012,1,0,1,-2.48301111360253
"246","Andrena_minutula",2013,1,0,1,1.29912581109245
"247","Andrena_minutula",2014,1,0,1,0.224496701858834
"248","Andrena_minutula",2015,1,0,1,0.663181700320541
"249","Andrena_nigroaenea",1985,1,0,1,0.0701402850015599
"250","Andrena_nigroaenea",1986,1,0,1,1.41827108168247
"251","Andrena_nigroaenea",1987,1,0,1,0.297038550910454
"252","Andrena_nigroaenea",1988,1,0,1,0.163980010204408
"253","Andrena_nigroaenea",1989,1,0,1,1.00532642697585
"254","Andrena_nigroaenea",1990,1,0,1,-0.106517922118111
"255","Andrena_nigroaenea",1991,1,0,1,0.251811825639634
"256","Andrena_nigroaenea",1992,1,0,1,-0.128073968910334
"257","Andrena_nigroaenea",1993,1,0,1,0.0177113195253897
"258","Andrena_nigroaenea",1994,1,0,1,-0.104808632807502
"259","Andrena_nigroaenea",1995,1,0,1,-0.301653680963854
"260","Andrena_nigroaenea",1996,1,0,1,-0.691946557840838
"261","Andrena_nigroaenea",1997,1,0,1,-0.973892025184284
"262","Andrena_nigroaenea",1998,1,0,1,-0.773267534244542
"263","Andrena_nigroaenea",1999,1,0,1,1.14918027610736
"264","Andrena_nigroaenea",2000,1,0,1,1.00193159417598
"265","Andrena_nigroaenea",2001,1,0,1,-1.47748036218508
"266","Andrena_nigroaenea",2002,1,0,1,-1.39261284490665
"267","Andrena_nigroaenea",2003,1,0,1,-1.74796510774184
"268","Andrena_nigroaenea",2004,1,0,1,0.120319472522863
"269","Andrena_nigroaenea",2005,1,0,1,2.3821524215026
"270","Andrena_nigroaenea",2006,1,0,1,0.830273340949492
"271","Andrena_nigroaenea",2007,1,0,1,-0.184184404562834
"272","Andrena_nigroaenea",2008,1,0,1,0.0174316974118855
"273","Andrena_nigroaenea",2009,1,0,1,-1.67696580103059
"274","Andrena_nigroaenea",2010,1,0,1,1.53846162920983
"275","Andrena_nigroaenea",2011,1,0,1,-0.107642847256692
"276","Andrena_nigroaenea",2012,1,0,1,-0.839440918620274
"277","Andrena_nigroaenea",2013,1,0,1,-0.403783807675558
"278","Andrena_nigroaenea",2014,1,0,1,-0.785292900323196
"279","Andrena_nigroaenea",2015,1,0,1,1.43149938455238
"280","Andrena_nitida",1985,1,0,1,-0.059444510695045
"281","Andrena_nitida",1986,1,0,1,-0.198922449524355
"282","Andrena_nitida",1987,1,0,1,0.461958143569321
"283","Andrena_nitida",1988,1,0,1,0.390727991837852
"284","Andrena_nitida",1989,1,0,1,0.0768302496691636
"285","Andrena_nitida",1990,1,0,1,0.0571536498322547
"286","Andrena_nitida",1991,1,0,1,0.593405852125932
"287","Andrena_nitida",1992,1,0,1,0.654285121896064
"288","Andrena_nitida",1993,1,0,1,0.333088866497723
"289","Andrena_nitida",1994,1,0,1,-0.0161359844527896
"290","Andrena_nitida",1995,1,0,1,-0.456495464565083
"291","Andrena_nitida",1996,1,0,1,0.281728887020915
"292","Andrena_nitida",1997,1,0,1,0.242583355612647
"293","Andrena_nitida",1998,1,0,1,-0.559926646149325
"294","Andrena_nitida",1999,1,0,1,1.58926644417335
"295","Andrena_nitida",2000,1,0,1,0.052625841786808
"296","Andrena_nitida",2001,1,0,1,-0.805658167081032
"297","Andrena_nitida",2002,1,0,1,-0.822849653112959
"298","Andrena_nitida",2003,1,0,1,-0.55097571944489
"299","Andrena_nitida",2004,1,0,1,1.3428822062984
"300","Andrena_nitida",2005,1,0,1,1.70134126298001
"301","Andrena_nitida",2006,1,0,1,0.147202835361395
"302","Andrena_nitida",2007,1,0,1,-2.08352697384268
"303","Andrena_nitida",2008,1,0,1,0.168818517038436
"304","Andrena_nitida",2009,1,0,1,-2.0548781293113
"305","Andrena_nitida",2010,1,0,1,0.160212415950043
"306","Andrena_nitida",2011,1,0,1,1.21530271513843
"307","Andrena_nitida",2012,1,0,1,0.472509376625773
"308","Andrena_nitida",2013,1,0,1,-2.24048753339408
"309","Andrena_nitida",2014,1,0,1,-1.42656185883086
"310","Andrena_nitida",2015,1,0,1,1.33393935698989
"311","Andrena_scotica",1985,1,0,1,0.0647449068511613
"312","Andrena_scotica",1986,1,0,1,-0.45602867266309
"313","Andrena_scotica",1987,1,0,1,0.145488603522271
"314","Andrena_scotica",1988,1,0,1,0.311611185562061
"315","Andrena_scotica",1989,1,0,1,0.923696971146064
"316","Andrena_scotica",1990,1,0,1,0.156886095213611
"317","Andrena_scotica",1991,1,0,1,0.506492338643117
"318","Andrena_scotica",1992,1,0,1,0.75266542094128
"319","Andrena_scotica",1993,1,0,1,-0.628499054680904
"320","Andrena_scotica",1994,1,0,1,0.0283610090982793
"321","Andrena_scotica",1995,1,0,1,-0.11121246605966
"322","Andrena_scotica",1996,1,0,1,-0.434548153571558
"323","Andrena_scotica",1997,1,0,1,-0.336363377827546
"324","Andrena_scotica",1998,1,0,1,-0.570716607879065
"325","Andrena_scotica",1999,1,0,1,-1.33942604103563
"326","Andrena_scotica",2000,1,0,1,-0.168204838445942
"327","Andrena_scotica",2001,1,0,1,-1.62932136956352
"328","Andrena_scotica",2002,1,0,1,-1.04851125016244
"329","Andrena_scotica",2003,1,0,1,-0.411913739365812
"330","Andrena_scotica",2004,1,0,1,2.26243908921249
"331","Andrena_scotica",2005,1,0,1,1.33524165885593
"332","Andrena_scotica",2006,1,0,1,0.177914983821521
"333","Andrena_scotica",2007,1,0,1,-1.3793090839421
"334","Andrena_scotica",2008,1,0,1,1.3602718629854
