species,year,occupancy ,Apple,Field Bean,Oilseed Rape
Bombus hortorum,2013,0.618612854,1,1,1
Bombus hortorum,2014,0.569233181,1,1,1
Bombus hortorum,2015,0.611366341,1,1,1
Bombus hypnorum,1985,,1,1,1
Bombus hypnorum,1986,,1,1,1
Bombus hypnorum,1987,,1,1,1
Bombus hypnorum,1988,,1,1,1
Bombus hypnorum,1989,,1,1,1
Bombus hypnorum,1990,,1,1,1
Bombus hypnorum,1991,,1,1,1
Bombus hypnorum,1992,,1,1,1
Bombus hypnorum,1993,,1,1,1
Bombus hypnorum,1994,,1,1,1
Bombus hypnorum,1995,,1,1,1
Bombus hypnorum,1996,,1,1,1
Bombus hypnorum,1997,,1,1,1
Bombus hypnorum,1998,,1,1,1
Bombus hypnorum,1999,,1,1,1
Bombus hypnorum,2000,,1,1,1
Bombus hypnorum,2001,0.142953788,1,1,1
Bombus hypnorum,2002,0.077110514,1,1,1
Bombus hypnorum,2003,0.054716433,1,1,1
Bombus hypnorum,2004,0.039785981,1,1,1
Bombus hypnorum,2005,0.01411667,1,1,1
Bombus hypnorum,2006,0.032987747,1,1,1
Bombus hypnorum,2007,0.072624155,1,1,1
Bombus hypnorum,2008,0.090717704,1,1,1
Bombus hypnorum,2009,0.385925258,1,1,1
Bombus hypnorum,2010,0.505013547,1,1,1
Bombus hypnorum,2011,0.629088773,1,1,1
Bombus hypnorum,2012,0.664076426,1,1,1
Bombus hypnorum,2013,0.702537176,1,1,1
Bombus hypnorum,2014,0.746316313,1,1,1
Bombus hypnorum,2015,0.741069002,1,1,1
Bombus lapidarius,1985,0.524032524,1,1,1
Bombus lapidarius,1986,0.494473149,1,1,1
Bombus lapidarius,1987,0.514976559,1,1,1
Bombus lapidarius,1988,0.515035988,1,1,1
Bombus lapidarius,1989,0.505178635,1,1,1
Bombus lapidarius,1990,0.468647377,1,1,1
Bombus lapidarius,1991,0.490507505,1,1,1
Bombus lapidarius,1992,0.541396043,1,1,1
Bombus lapidarius,1993,0.594156045,1,1,1
Bombus lapidarius,1994,0.650732267,1,1,1
Bombus lapidarius,1995,0.665293258,1,1,1
Bombus lapidarius,1996,0.69772955,1,1,1
Bombus lapidarius,1997,0.717389935,1,1,1
Bombus lapidarius,1998,0.747422642,1,1,1
Bombus lapidarius,1999,0.736497649,1,1,1
Bombus lapidarius,2000,0.733621518,1,1,1
Bombus lapidarius,2001,0.750334282,1,1,1
Bombus lapidarius,2002,0.766012275,1,1,1
Bombus lapidarius,2003,0.766108305,1,1,1
Bombus lapidarius,2004,0.739565759,1,1,1
Bombus lapidarius,2005,0.734390941,1,1,1
Bombus lapidarius,2006,0.76847124,1,1,1
Bombus lapidarius,2007,0.750871356,1,1,1
Bombus lapidarius,2008,0.719480392,1,1,1
Bombus lapidarius,2009,0.758843321,1,1,1
Bombus lapidarius,2010,0.780249432,1,1,1
Bombus lapidarius,2011,0.77824782,1,1,1
Bombus lapidarius,2012,0.774893191,1,1,1
Bombus lapidarius,2013,0.823203155,1,1,1
Bombus lapidarius,2014,0.780392812,1,1,1
Bombus lapidarius,2015,0.81968757,1,1,1
Bombus pascuorum,1985,0.569651042,1,1,1
Bombus pascuorum,1986,0.520209588,1,1,1
Bombus pascuorum,1987,0.534593909,1,1,1
Bombus pascuorum,1988,0.55536343,1,1,1
Bombus pascuorum,1989,0.563235481,1,1,1
Bombus pascuorum,1990,0.52138009,1,1,1
Bombus pascuorum,1991,0.553606048,1,1,1
Bombus pascuorum,1992,0.617154914,1,1,1
Bombus pascuorum,1993,0.634103636,1,1,1
Bombus pascuorum,1994,0.690355296,1,1,1
Bombus pascuorum,1995,0.66845691,1,1,1
Bombus pascuorum,1996,0.66677351,1,1,1
Bombus pascuorum,1997,0.740332705,1,1,1
Bombus pascuorum,1998,0.799421177,1,1,1
Bombus pascuorum,1999,0.795930653,1,1,1
Bombus pascuorum,2000,0.813351432,1,1,1
Bombus pascuorum,2001,0.818455802,1,1,1
Bombus pascuorum,2002,0.810174451,1,1,1
Bombus pascuorum,2003,0.828223333,1,1,1
Bombus pascuorum,2004,0.795741456,1,1,1
Bombus pascuorum,2005,0.758879195,1,1,1
Bombus pascuorum,2006,0.75439152,1,1,1
Bombus pascuorum,2007,0.710200052,1,1,1
Bombus pascuorum,2008,0.736469301,1,1,1
Bombus pascuorum,2009,0.746528402,1,1,1
Bombus pascuorum,2010,0.773204609,1,1,1
Bombus pascuorum,2011,0.781625548,1,1,1
Bombus pascuorum,2012,0.787901562,1,1,1
Bombus pascuorum,2013,0.784653412,1,1,1
Bombus pascuorum,2014,0.775624148,1,1,1
